run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-13-paper-tracks-exp-basis-only-compile-3063b13aa4e5,v1.13-paper-tracks,exp-basis-only-compile,exp,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,recovered,verifier_recovered,recovered,recovered,,,compile_only_verification,compile_only_verified,,,,,0,,,,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),0.03063266701065004,,,,verified,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-exp-basis-only-compile-3063b13aa4e5.json
v1-13-paper-tracks-log-basis-only-compile-b90f584d8bb1,v1.13-paper-tracks,log-basis-only-compile,log,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),0.08823329210281372,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-log-basis-only-compile-b90f584d8bb1.json
v1-13-paper-tracks-radioactive-decay-basis-only-compile-59cbbd644b4b,v1.13-paper-tracks,radioactive-decay-basis-only-compile,radioactive_decay,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,c8a28771cd580ccc9841ae60500a9f756b9dd196e5fd5c34f39af7d597c46b91,sources/FOR_DEMO.md,exp(-0.4*t),0.010659374995157123,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-radioactive-decay-basis-only-compile-59cbbd644b4b.json
v1-13-paper-tracks-beer-lambert-basis-only-compile-7be75ecbaa63,v1.13-paper-tracks,beer-lambert-basis-only-compile,beer_lambert,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.00816049997229129,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-beer-lambert-basis-only-compile-7be75ecbaa63.json
v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6de3215052b7,v1.13-paper-tracks,scaled-exp-growth-basis-only-compile,scaled_exp_growth,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,dea8e07a578b642a83d07fddc805eae8067888318a7d0ed181a0c6272ebad3d2,sources/NORTH_STAR.md,exp(0.4*x),0.007705415948294103,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6de3215052b7.json
v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1b1c434047ab,v1.13-paper-tracks,scaled-exp-fast-decay-basis-only-compile,scaled_exp_fast_decay,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,5644acdf31ff5b08587f20decf2998545faa39e2542337019e9b94412c8ca2cb,sources/NORTH_STAR.md,exp(-1.2*x),0.007936000009067357,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1b1c434047ab.json
v1-13-paper-tracks-arrhenius-basis-only-compile-c088f39bd857,v1.13-paper-tracks,arrhenius-basis-only-compile,arrhenius,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,46c4985fa86ac8543a0c2ec869139947b0c9567671c8535e9cb921b05b3fadce,sources/FOR_DEMO.md,exp(-0.8/x),0.007581958896480501,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-arrhenius-basis-only-compile-c088f39bd857.json
v1-13-paper-tracks-michaelis-menten-basis-only-compile-c2a4f388bd95,v1.13-paper-tracks,michaelis-menten-basis-only-compile,michaelis_menten,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,ed0b514b76e91b981a47143e6e583f9cc342c17e88768e87819fa2b6e89141b0,sources/FOR_DEMO.md,2*x/(x + 0.5),0.007750459015369415,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-michaelis-menten-basis-only-compile-c2a4f388bd95.json
v1-13-paper-tracks-logistic-basis-only-compile-a32e36271e81,v1.13-paper-tracks,logistic-basis-only-compile,logistic,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,e132c7fd8662bb7ee2597b3ab81998f0e55c26a772240a1eddd39e0dc502ac67,sources/FOR_DEMO.md,1/(1 + 2*exp(-1.3*x)),0.007818875019438565,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-logistic-basis-only-compile-a32e36271e81.json
v1-13-paper-tracks-shockley-basis-only-compile-28e169b25e29,v1.13-paper-tracks,shockley-basis-only-compile,shockley,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,3009868ccb92bb446529829a4c396045d5bf85a0f5b654bcb072726781ab0478,sources/FOR_DEMO.md,0.2*exp(1.4*x) - 0.2,0.007917791022919118,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-shockley-basis-only-compile-28e169b25e29.json
v1-13-paper-tracks-damped-oscillator-basis-only-compile-19df93053992,v1.13-paper-tracks,damped-oscillator-basis-only-compile,damped_oscillator,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,e4676aeae229ed7091ac2cf67d1065a3851e81a85d9292b2972023618be7db12,sources/FOR_DEMO.md,exp(-0.15*t)*cos(2.5*t + 0.2),0.008111833943985403,,,,unsupported_operator,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-damped-oscillator-basis-only-compile-19df93053992.json
v1-13-paper-tracks-planck-basis-only-compile-561b8c556ba4,v1.13-paper-tracks,planck-basis-only-compile,planck,compile,0,2,8,0,8,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,,,,021d09cad64656081182e9fb2b8993d4e224508b48e68e774004d9c2ede861de,sources/FOR_DEMO.md,x**3/(exp(x) - 1),0.008284874958917499,,,,constant_policy,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-planck-basis-only-compile-561b8c556ba4.json
v1-13-paper-tracks-exp-literal-warm-9b23eed6fa6a,v1.13-paper-tracks,exp-literal-warm,exp,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,0.0,0.0,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.1591469580307603,2,0,same_ast_return,verified,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-exp-literal-warm-9b23eed6fa6a.json
v1-13-paper-tracks-log-literal-warm-682593206b87,v1.13-paper-tracks,log-literal-warm,log,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,,,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),0.02503245894331485,,,,depth_exceeded,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-log-literal-warm-682593206b87.json
v1-13-paper-tracks-radioactive-decay-literal-warm-2c95fb8d28a3,v1.13-paper-tracks,radioactive-decay-literal-warm,radioactive_decay,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,6.238950433728667e-33,6.238950433728667e-33,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,c8a28771cd580ccc9841ae60500a9f756b9dd196e5fd5c34f39af7d597c46b91,sources/FOR_DEMO.md,exp(-0.4*t),2.769891040981747,18,0,same_ast_return,verified,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-radioactive-decay-literal-warm-2c95fb8d28a3.json
v1-13-paper-tracks-beer-lambert-literal-warm-6bde0341b85f,v1.13-paper-tracks,beer-lambert-literal-warm,beer_lambert,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,3.723143583092301e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),2.8590218749595806,18,0,same_ast_return,verified,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-beer-lambert-literal-warm-6bde0341b85f.json
v1-13-paper-tracks-scaled-exp-growth-literal-warm-de37e614d838,v1.13-paper-tracks,scaled-exp-growth-literal-warm,scaled_exp_growth,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,9.258645637409282e-32,9.258645637409282e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,dea8e07a578b642a83d07fddc805eae8067888318a7d0ed181a0c6272ebad3d2,sources/NORTH_STAR.md,exp(0.4*x),2.7832010419806466,18,0,same_ast_return,verified,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-scaled-exp-growth-literal-warm-de37e614d838.json
v1-13-paper-tracks-scaled-exp-fast-decay-literal-warm-2ec985eec55a,v1.13-paper-tracks,scaled-exp-fast-decay-literal-warm,scaled_exp_fast_decay,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,2.529487305754901e-32,2.529487305754901e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,5644acdf31ff5b08587f20decf2998545faa39e2542337019e9b94412c8ca2cb,sources/NORTH_STAR.md,exp(-1.2*x),2.7788052080431953,18,0,same_ast_return,verified,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-scaled-exp-fast-decay-literal-warm-2ec985eec55a.json
v1-13-paper-tracks-arrhenius-literal-warm-b1aea4d7678e,v1.13-paper-tracks,arrhenius-literal-warm,arrhenius,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,9.421157240802948e-33,9.421157240802948e-33,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,46c4985fa86ac8543a0c2ec869139947b0c9567671c8535e9cb921b05b3fadce,sources/FOR_DEMO.md,exp(-0.8/x),2.189481124980375,18,0,same_ast_return,verified,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-arrhenius-literal-warm-b1aea4d7678e.json
v1-13-paper-tracks-michaelis-menten-literal-warm-a45fcb5297df,v1.13-paper-tracks,michaelis-menten-literal-warm,michaelis_menten,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,1.1019529165135634e-31,1.1019529165135634e-31,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,ed0b514b76e91b981a47143e6e583f9cc342c17e88768e87819fa2b6e89141b0,sources/FOR_DEMO.md,2*x/(x + 0.5),9.401894791983068,40,0,same_ast_return,verified,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-michaelis-menten-literal-warm-a45fcb5297df.json
v1-13-paper-tracks-logistic-literal-warm-9ea281dbf3ec,v1.13-paper-tracks,logistic-literal-warm,logistic,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,,,,e132c7fd8662bb7ee2597b3ab81998f0e55c26a772240a1eddd39e0dc502ac67,sources/FOR_DEMO.md,1/(1 + 2*exp(-1.3*x)),0.023735166992992163,,,,depth_exceeded,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-logistic-literal-warm-9ea281dbf3ec.json
v1-13-paper-tracks-shockley-literal-warm-99701f065be5,v1.13-paper-tracks,shockley-literal-warm,shockley,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,1.1979866060425772e-30,1.1979866060425772e-30,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,,,,3009868ccb92bb446529829a4c396045d5bf85a0f5b654bcb072726781ab0478,sources/FOR_DEMO.md,0.2*exp(1.4*x) - 0.2,18.079982374911197,34,0,same_ast_return,verified,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-shockley-literal-warm-99701f065be5.json
v1-13-paper-tracks-damped-oscillator-literal-warm-4ac09e7e05b3,v1.13-paper-tracks,damped-oscillator-literal-warm,damped_oscillator,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,,,,e4676aeae229ed7091ac2cf67d1065a3851e81a85d9292b2972023618be7db12,sources/FOR_DEMO.md,exp(-0.15*t)*cos(2.5*t + 0.2),0.021226582932285964,,,,unsupported_operator,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-damped-oscillator-literal-warm-4ac09e7e05b3.json
v1-13-paper-tracks-planck-literal-warm-00693e8cb013,v1.13-paper-tracks,planck-literal-warm,planck,warm_start,0,2,8,0,1,1,1,0.0,raw_eml,,,,,,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,,,,021d09cad64656081182e9fb2b8993d4e224508b48e68e774004d9c2ede861de,sources/FOR_DEMO.md,x**3/(exp(x) - 1),0.03666037495713681,,,,depth_exceeded,artifacts/campaigns/v1.13-paper-tracks-final/runs/v1.13-paper-tracks/v1-13-paper-tracks-planck-literal-warm-00693e8cb013.json
