run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,total_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,pre_snap_mse,post_snap_loss,post_snap_mse,gradient_l2_norm_max,gradient_max_abs_max,snap_min_margin,verifier_status,recovery_class,status,claim_status,verification_outcome,evidence_regime,discovery_class,warm_start_evidence,ast_return_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,optimizer_wall_clock_seconds,optimizer_attempt_count,optimizer_candidate_count,anomaly_nan_count,anomaly_inf_count,anomaly_exp_overflow_count,anomaly_log_branch_cut_count,anomaly_log_branch_cut_proximity_count,anomaly_log_branch_cut_crossing_count,anomaly_branch_input_count,branch_diagnostics_status,branch_failure_class,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-16-geml-pilot-sin-pi-raw-v116-blind-220d22c0209c,v1.16-geml-pilot,sin-pi-raw-v116-blind,sin_pi,blind,0,3,36,0,8,2,1,2,0.0,raw_eml,,0.4635611233494039,0.4305192247676462,0.6535512891542574,0.6535512891542574,5319.786857223896,2757.660853872853,0.18959959460171555,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,24,,,0570fd468d9ea908be847b13ca3e6178ae663db4e287056b3b4179412a51dd28,.planning/ROADMAP.md,sin(pi*x),2.719740040949546,0.5127120829420164,2,8,0,0,0,24,24,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-raw-v116-blind-220d22c0209c.json
v1-16-geml-pilot-sin-pi-raw-v116-blind-7aaf87676b6f,v1.16-geml-pilot,sin-pi-raw-v116-blind,sin_pi,blind,1,3,36,0,8,2,1,2,0.0,raw_eml,,0.5784348864643037,0.9186405704999956,0.656776493380918,0.656776493380918,5369.46497367949,2783.1735561958567,0.0845803914226988,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,24,,,eddfc0f18017b057d0256ce2d28c5a11bddb5e7d3a0ea1954f47a309d5a97959,.planning/ROADMAP.md,sin(pi*x),2.5507084999699146,0.3412048750324175,2,8,0,0,0,24,24,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-raw-v116-blind-7aaf87676b6f.json
v1-16-geml-pilot-sin-pi-ipi-v116-blind-2dbf88bedf2b,v1.16-geml-pilot,sin-pi-ipi-v116-blind,sin_pi,blind,0,3,36,0,8,2,1,2,0.0,ipi_eml,,2.057433062652473,2.1872893329864165,2.532535405260982,2.532535405260982,7.534233264742023,5.341648174218539,1.0,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,0570fd468d9ea908be847b13ca3e6178ae663db4e287056b3b4179412a51dd28,.planning/ROADMAP.md,sin(pi*x),1.710991209023632,0.6881208330160007,4,16,0,0,0,12,12,0,168,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-ipi-v116-blind-2dbf88bedf2b.json
v1-16-geml-pilot-sin-pi-ipi-v116-blind-c803be2bb022,v1.16-geml-pilot,sin-pi-ipi-v116-blind,sin_pi,blind,1,3,36,0,8,2,1,2,0.0,ipi_eml,,1.7557690680023708,2.199448434356592,2.537787338366473,2.537787338366473,54.807169406846164,38.487904425003805,1.0,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,eddfc0f18017b057d0256ce2d28c5a11bddb5e7d3a0ea1954f47a309d5a97959,.planning/ROADMAP.md,sin(pi*x),1.7680546250194311,0.635826832964085,4,16,0,0,0,12,36,0,168,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-ipi-v116-blind-c803be2bb022.json
v1-16-geml-pilot-cos-pi-raw-v116-blind-c9906f0a620d,v1.16-geml-pilot,cos-pi-raw-v116-blind,cos_pi,blind,0,3,36,0,8,2,1,2,0.0,raw_eml,,0.5554284536855043,0.525871974855633,0.6670014952477884,0.6670014952477884,14545.250320621835,7589.209655760606,0.19042891511263643,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,24,,,8c430f4eef5761849dab75f8973926b2a986325e2b193a99dfab3cb2d2be3d00,.planning/ROADMAP.md,cos(pi*x),2.5354729160899296,0.3046768750064075,2,8,0,0,0,0,0,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-raw-v116-blind-c9906f0a620d.json
v1-16-geml-pilot-cos-pi-raw-v116-blind-434cf45abd91,v1.16-geml-pilot,cos-pi-raw-v116-blind,cos_pi,blind,1,3,36,0,8,2,1,2,0.0,raw_eml,,0.9229853370220741,0.6029758622751309,0.6662340527072067,0.6662340527072067,5449.733370863788,2824.8958450337923,0.03349959366516314,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,24,,,eecc3c05cd79a216e1231c8f84860ac27b49313c5e691d6d7b8392ecd2d4df71,.planning/ROADMAP.md,cos(pi*x),2.488003916107118,0.29454637493472546,2,8,0,0,0,12,12,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-raw-v116-blind-434cf45abd91.json
v1-16-geml-pilot-cos-pi-ipi-v116-blind-d646ceb81086,v1.16-geml-pilot,cos-pi-ipi-v116-blind,cos_pi,blind,0,3,36,0,8,2,1,2,0.0,ipi_eml,,1.8061693345577197,1.4932648931246568,3.0737464013609714,3.0737464013609714,6.235970074922481,4.067581360046684,1.0,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,8c430f4eef5761849dab75f8973926b2a986325e2b193a99dfab3cb2d2be3d00,.planning/ROADMAP.md,cos(pi*x),1.6459141250234097,0.6320613330462947,4,16,0,0,0,0,0,1,168,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-ipi-v116-blind-d646ceb81086.json
v1-16-geml-pilot-cos-pi-ipi-v116-blind-8400b3ba3d1b,v1.16-geml-pilot,cos-pi-ipi-v116-blind,cos_pi,blind,1,3,36,0,8,2,1,2,0.0,ipi_eml,,0.2820819736503924,3.8601017706975562,0.5298875279830182,0.5298875279830182,9.932611237731152,6.074697090215129,0.006044502786538342,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,24,,,eecc3c05cd79a216e1231c8f84860ac27b49313c5e691d6d7b8392ecd2d4df71,.planning/ROADMAP.md,cos(pi*x),2.790534207946621,0.624026333913207,4,16,0,0,0,30,35,1,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-ipi-v116-blind-8400b3ba3d1b.json
v1-16-geml-pilot-harmonic-sum-raw-v116-blind-894efc04fa0d,v1.16-geml-pilot,harmonic-sum-raw-v116-blind,harmonic_sum,blind,0,3,36,0,8,2,1,2,0.0,raw_eml,,0.366790232371261,0.9565200460979354,0.845025725690132,0.845025725690132,61.34686126072658,35.56290293991544,0.01113353862485189,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,2b3ecf2181f48ef906f63fd63bc81314c538bfb9a5b9fb703698d69ee2f6a53a,.planning/ROADMAP.md,sin(pi*x) + 0.5*cos(2*pi*x),2.6433243330102414,0.4227871660841629,2,8,0,0,0,4,4,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-raw-v116-blind-894efc04fa0d.json
v1-16-geml-pilot-harmonic-sum-raw-v116-blind-a3087f36bc71,v1.16-geml-pilot,harmonic-sum-raw-v116-blind,harmonic_sum,blind,1,3,36,0,8,2,1,2,0.0,raw_eml,,0.36527601507148283,0.9522641448484769,0.8403672714207535,0.8403672714207535,35.152482173023415,20.46187855234496,0.011094642039783442,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,8ee85a7f183ad7f2e7fb75ef93c99c5ed6d2986c761e3d8162a3cda08a0a162d,.planning/ROADMAP.md,sin(pi*x) + 0.5*cos(2*pi*x),2.7087181250099093,0.46446587494574487,2,8,0,0,0,0,0,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-raw-v116-blind-a3087f36bc71.json
v1-16-geml-pilot-harmonic-sum-ipi-v116-blind-6dce386f4e7b,v1.16-geml-pilot,harmonic-sum-ipi-v116-blind,harmonic_sum,blind,0,3,36,0,8,2,1,2,0.0,ipi_eml,,2.130218830221221,2.5800610806940654,2.728140917106817,2.728140917106817,46.22325447012318,36.32582094327688,1.0,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,2b3ecf2181f48ef906f63fd63bc81314c538bfb9a5b9fb703698d69ee2f6a53a,.planning/ROADMAP.md,sin(pi*x) + 0.5*cos(2*pi*x),2.144178375019692,0.9462097079958767,4,16,0,0,0,12,12,0,168,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-ipi-v116-blind-6dce386f4e7b.json
v1-16-geml-pilot-harmonic-sum-ipi-v116-blind-cbcffbfb08d5,v1.16-geml-pilot,harmonic-sum-ipi-v116-blind,harmonic_sum,blind,1,3,36,0,8,2,1,2,0.0,ipi_eml,,1.904526265709207,2.7298018889821045,2.7298018889821045,2.7298018889821045,29.109686138039894,13.22301221881487,1.0,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,8ee85a7f183ad7f2e7fb75ef93c99c5ed6d2986c761e3d8162a3cda08a0a162d,.planning/ROADMAP.md,sin(pi*x) + 0.5*cos(2*pi*x),2.1394092079717666,0.9428736659465358,4,16,0,0,0,0,0,0,168,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-ipi-v116-blind-cbcffbfb08d5.json
v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-c15ac8ea4804,v1.16-geml-pilot,log-periodic-oscillation-raw-v116-blind,log_periodic_oscillation,blind,0,3,36,0,8,2,1,2,0.0,raw_eml,,0.15699786878059827,1.0020540299375387,0.9671902235544755,0.9671902235544755,17.087603930055995,9.955202107572863,0.011882923713247007,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,24,,,63e10ca07224556f8731a1152529a0022872c667a1ce8f29969bbf364d6fac78,.planning/ROADMAP.md,sqrt(x)*cos(2*log(x) + 0.3),2.9552917920518667,0.41856920800637454,2,8,0,0,0,0,0,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-c15ac8ea4804.json
v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-cb9b0243d688,v1.16-geml-pilot,log-periodic-oscillation-raw-v116-blind,log_periodic_oscillation,blind,1,3,36,0,8,2,1,2,0.0,raw_eml,,0.15506798028233457,1.0013600510268255,0.96570257767321,0.96570257767321,30.403487928488335,18.56440078035005,0.011715320399159457,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,24,,,d01198f380da1d1ea5612529a477117be947fc4a8af81781c8ce6a1a34c4410f,.planning/ROADMAP.md,sqrt(x)*cos(2*log(x) + 0.3),3.1082322080619633,0.39904662501066923,2,8,0,0,0,0,0,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-cb9b0243d688.json
v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-b9dc27c7c5eb,v1.16-geml-pilot,log-periodic-oscillation-ipi-v116-blind,log_periodic_oscillation,blind,0,3,36,0,8,2,1,2,0.0,ipi_eml,,1.4528631414356779,1.4528631414360103,1.45286314143601,1.45286314143601,8.663344065777677,5.179524543234263,1.0,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,63e10ca07224556f8731a1152529a0022872c667a1ce8f29969bbf364d6fac78,.planning/ROADMAP.md,sqrt(x)*cos(2*log(x) + 0.3),2.0559587080497295,0.9214550829492509,4,16,0,0,0,0,0,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-b9dc27c7c5eb.json
v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-7e17daae2089,v1.16-geml-pilot,log-periodic-oscillation-ipi-v116-blind,log_periodic_oscillation,blind,1,3,36,0,8,2,1,2,0.0,ipi_eml,,0.25076140567050026,0.8493344688738841,1.4338387827781072,1.4338387827781072,10.23476104691659,6.282038621956074,0.0009611780654291691,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,24,,,d01198f380da1d1ea5612529a477117be947fc4a8af81781c8ce6a1a34c4410f,.planning/ROADMAP.md,sqrt(x)*cos(2*log(x) + 0.3),3.373038124991581,0.8271231660619378,4,16,0,0,0,0,0,0,168,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-7e17daae2089.json
v1-16-geml-pilot-exp-raw-v116-blind-9954b4b63c6d,v1.16-geml-pilot,exp-raw-v116-blind,exp,blind,0,2,36,0,8,2,1,2,0.0,raw_eml,,0.09428367920894626,0.3934950622464755,0.5638625830597994,0.5638625830597994,18246.430330718867,12902.156771724405,0.06716376511411726,failed,repaired_candidate,repaired_candidate,recovered,failed,repaired_candidate,repaired_candidate,not_warm_start,not_applicable,,,blind_training,repaired_candidate,,,repaired,recovered,2,1,15,selected,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.1294342920882627,0.12237012491095811,2,8,0,0,0,12,12,0,72,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-raw-v116-blind-9954b4b63c6d.json
v1-16-geml-pilot-exp-raw-v116-blind-cf128515ef41,v1.16-geml-pilot,exp-raw-v116-blind,exp,blind,1,2,36,0,8,2,1,2,0.0,raw_eml,,0.07864334912355732,0.4368210719878154,0.5638646783616865,0.5638646783616865,1119.5657662001652,791.6127551102292,0.21586187548165264,failed,repaired_candidate,repaired_candidate,recovered,failed,repaired_candidate,repaired_candidate,not_warm_start,not_applicable,,,blind_training,repaired_candidate,,,repaired,recovered,2,1,15,selected,,1712ceb0c8bcc82f4322f7ed81d4f137f8e7bfa8f54a3eef523c9cd3482b3d10,sources/paper.pdf,exp(x),1.1202929579885677,0.12092358304653317,2,8,0,0,0,24,24,0,72,performed,branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-raw-v116-blind-cf128515ef41.json
v1-16-geml-pilot-exp-ipi-v116-blind-96fd9b472e1c,v1.16-geml-pilot,exp-ipi-v116-blind,exp,blind,0,2,36,0,8,2,1,2,0.0,ipi_eml,,1.233790106824676,1.553039719409118,3.2395529792987188,3.2395529792987188,4681.660606809802,3310.416948513441,0.016172455056306212,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.1872338749235496,0.2357705000322312,4,16,0,0,0,24,24,0,72,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-ipi-v116-blind-96fd9b472e1c.json
v1-16-geml-pilot-exp-ipi-v116-blind-f16264d68e9f,v1.16-geml-pilot,exp-ipi-v116-blind,exp,blind,1,2,36,0,8,2,1,2,0.0,ipi_eml,,1.3164495372695877,1.1492919199798428,3.2390108567314653,3.2390108567314653,195.46093447653365,138.2117522254164,0.023650008879784412,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,1712ceb0c8bcc82f4322f7ed81d4f137f8e7bfa8f54a3eef523c9cd3482b3d10,sources/paper.pdf,exp(x),1.3053607079200447,0.24293670803308487,4,16,0,0,0,0,0,0,72,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-ipi-v116-blind-f16264d68e9f.json
v1-16-geml-pilot-log-raw-v116-blind-5017393b5d99,v1.16-geml-pilot,log-raw-v116-blind,log,blind,0,2,36,0,8,2,1,2,0.0,raw_eml,,2.5531847665172,2.4347976116804326,2.3020071703961182,2.3020071703961182,491.5981990151853,260.88607260719067,0.1477728861010439,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,15,,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),1.1558504588901997,0.12483400001656264,2,8,0,0,0,0,0,0,72,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-raw-v116-blind-5017393b5d99.json
v1-16-geml-pilot-log-raw-v116-blind-d348cd35ea0c,v1.16-geml-pilot,log-raw-v116-blind,log,blind,1,2,36,0,8,2,1,2,0.0,raw_eml,,2.4456657273237625,2.553861416847207,2.8088979209969587,2.8088979209969587,496.68152255682594,263.31318589060237,0.2733937458728815,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,15,,,d1ee4c5835b8dff9f32ad60d840edd2970923edb68345ab9926851e4c9141869,sources/paper.pdf,E - log(exp(E)/x),1.1451192910317332,0.12559508392587304,2,8,0,0,0,0,0,0,72,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-raw-v116-blind-d348cd35ea0c.json
v1-16-geml-pilot-log-ipi-v116-blind-84e0e981b471,v1.16-geml-pilot,log-ipi-v116-blind,log,blind,0,2,36,0,8,2,1,2,0.0,ipi_eml,,1.6242747786427063,1.6242747786428982,1.6242747786428984,1.6242747786428984,7.643905673710201,5.0192678379393385,1.0,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),1.2761738750850782,0.26683237508405,4,16,0,0,0,0,0,1,72,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-ipi-v116-blind-84e0e981b471.json
v1-16-geml-pilot-log-ipi-v116-blind-1cede807b734,v1.16-geml-pilot,log-ipi-v116-blind,log,blind,1,2,36,0,8,2,1,2,0.0,ipi_eml,,1.6160361948022797,1.6160361948025237,1.6160361948025237,1.6160361948025237,7.631165656216382,5.02630952963901,1.0,failed,snapped_but_failed,snapped_but_failed,failed,failed,snapped_but_failed,failed,not_warm_start,not_applicable,,,blind_training,snapped_but_failed,,,not_repaired,,0,1,8,,,d1ee4c5835b8dff9f32ad60d840edd2970923edb68345ab9926851e4c9141869,sources/paper.pdf,E - log(exp(E)/x),1.3335433329921216,0.2568121670046821,4,16,0,0,0,0,0,1,72,performed,not_branch_related,,,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-ipi-v116-blind-1cede807b734.json
