run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-5-shallow-proof-shallow-exp-blind-cee11eed1e10,v1.5-shallow-proof,shallow-exp-blind,exp,blind,0,1,120,0,8,2,1,0.0,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,655388a1adc8c90798742b72d43b06661b0dc270613e23321a785af9c625a3cb,sources/paper.pdf,exp(x),0.11303012497955933,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-exp-blind-cee11eed1e10.json
v1-5-shallow-proof-shallow-exp-blind-3d2b2992b565,v1.5-shallow-proof,shallow-exp-blind,exp,blind,1,1,120,0,8,2,1,0.0,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,c4e2b1c0a78bc57db776470eac8c7d4ec5f1c82743ca96f4d2c08914c4807bbb,sources/paper.pdf,exp(x),0.11186766700120643,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-exp-blind-3d2b2992b565.json
v1-5-shallow-proof-shallow-exp-blind-09db733c882a,v1.5-shallow-proof,shallow-exp-blind,exp,blind,2,1,120,0,8,2,1,0.0,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,dcebf8f5f83659182566fc8c8aca03393d936e454e4c820ec00b74d6779432d0,sources/paper.pdf,exp(x),0.11139679199550301,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-exp-blind-09db733c882a.json
v1-5-shallow-proof-shallow-log-blind-dbe932daf1eb,v1.5-shallow-proof,shallow-log-blind,log,blind,0,3,120,0,8,2,1,0.0,1.6895521363690837e-32,1.6895521363690837e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,01c2261015de6d16b8338f86f0a15db26f6eb11ee40e6ca1a6c1c411b6e6236f,sources/paper.pdf,E - log(exp(E)/x),0.7950309590087272,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-log-blind-dbe932daf1eb.json
v1-5-shallow-proof-shallow-log-blind-df3b9fdcd927,v1.5-shallow-proof,shallow-log-blind,log,blind,1,3,120,0,8,2,1,0.0,6.892722715029631e-33,6.892722715029631e-33,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,3c8d51619ccd81e420d0691d84e7f72acbc26d920bd64cb2bc22bb2d3c7d11d5,sources/paper.pdf,E - log(exp(E)/x),0.7821970000513829,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-log-blind-df3b9fdcd927.json
v1-5-shallow-proof-shallow-log-blind-b1e60a866d62,v1.5-shallow-proof,shallow-log-blind,log,blind,2,3,120,0,8,2,1,0.0,1.1080115711302816e-32,1.1080115711302816e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,a7614afefce1f52909d1beacfbb4d7cb3fcd85bdba9486d05c2d11a3e3efabee,sources/paper.pdf,E - log(exp(E)/x),0.7824233749997802,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-log-blind-b1e60a866d62.json
v1-5-shallow-proof-shallow-radioactive-decay-blind-b5dcba9ef5c4,v1.5-shallow-proof,shallow-radioactive-decay-blind,radioactive_decay,blind,0,9,120,0,8,2,1,0.0,5.355359632052487e-33,5.396942299047743e-33,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,be5bd479eef17bcc628e7786fc9afc2b21f4599de00aa5a59da52cc8fb436f2e,sources/FOR_DEMO.md,exp(-0.4*t),82.94162808300462,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-radioactive-decay-blind-b5dcba9ef5c4.json
v1-5-shallow-proof-shallow-radioactive-decay-blind-0fbc9f97f650,v1.5-shallow-proof,shallow-radioactive-decay-blind,radioactive_decay,blind,1,9,120,0,8,2,1,0.0,5.9034099514638206e-33,5.9034099514638206e-33,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,60197b131fa42a45fcfca43ee5d6f60110e5dc78b3ed20c9184994485bd7b624,sources/FOR_DEMO.md,exp(-0.4*t),89.83475029200781,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-radioactive-decay-blind-0fbc9f97f650.json
v1-5-shallow-proof-shallow-radioactive-decay-blind-cc19fce061dd,v1.5-shallow-proof,shallow-radioactive-decay-blind,radioactive_decay,blind,2,9,120,0,8,2,1,0.0,4.771461650478526e-33,4.77146165047869e-33,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,8adbdd755771c4d6d12d57830218868f3524ced478be44d0fc3ecb8bfe27e9ed,sources/FOR_DEMO.md,exp(-0.4*t),90.74773379199905,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-radioactive-decay-blind-cc19fce061dd.json
v1-5-shallow-proof-shallow-beer-lambert-blind-288c8a34c6fd,v1.5-shallow-proof,shallow-beer-lambert-blind,beer_lambert,blind,0,9,120,0,8,2,1,0.0,4.7276699230377935e-33,4.5219679645283827e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,aa44ec9d889b6e8e49fb767e360d152329a3b09fc547e96b677554bfd3230e3a,sources/FOR_DEMO.md,exp(-0.8*x),89.76424175000284,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-beer-lambert-blind-288c8a34c6fd.json
v1-5-shallow-proof-shallow-beer-lambert-blind-020a842bb97c,v1.5-shallow-proof,shallow-beer-lambert-blind,beer_lambert,blind,1,9,120,0,8,2,1,0.0,4.7727008136517964e-33,4.5123928104542996e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,396bd28037b00ca6cd4c5e2c6e626f5b9fbecccd1f5f4b61adfb7ebce40c6ba8,sources/FOR_DEMO.md,exp(-0.8*x),86.60674591700081,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-beer-lambert-blind-020a842bb97c.json
v1-5-shallow-proof-shallow-beer-lambert-blind-dbd5b90008f1,v1.5-shallow-proof,shallow-beer-lambert-blind,beer_lambert,blind,2,9,120,0,8,2,1,0.0,4.900663650396958e-33,4.8664014724200687e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,de851c53e04fea4fc0f04950d771639df53e6ac6a44826ddabf5ca3e709d6285,sources/FOR_DEMO.md,exp(-0.8*x),82.25290000002133,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-beer-lambert-blind-dbd5b90008f1.json
v1-5-shallow-proof-shallow-scaled-exp-growth-blind-909e567a513a,v1.5-shallow-proof,shallow-scaled-exp-growth-blind,scaled_exp_growth,blind,0,9,120,0,8,2,1,0.0,4.213468769525806e-32,8.353098381815343e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,c09f30525dfeef57ff74e8bb819d68242e78cdcb0fbd7c97ede7418c0a6a2fcb,sources/NORTH_STAR.md,exp(0.4*x),82.35494037502212,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-scaled-exp-growth-blind-909e567a513a.json
v1-5-shallow-proof-shallow-scaled-exp-growth-blind-46aeecb2e742,v1.5-shallow-proof,shallow-scaled-exp-growth-blind,scaled_exp_growth,blind,1,9,120,0,8,2,1,0.0,1.3156738561703868e-31,1.5623327221942603e-31,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,47ebe1d2f45b21d124bc6f530b80c6abee83c20a600aba83eacd9b462c7f1580,sources/NORTH_STAR.md,exp(0.4*x),82.1019665839849,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-scaled-exp-growth-blind-46aeecb2e742.json
v1-5-shallow-proof-shallow-scaled-exp-growth-blind-7b2cad0dbb26,v1.5-shallow-proof,shallow-scaled-exp-growth-blind,scaled_exp_growth,blind,2,9,120,0,8,2,1,0.0,9.684759130663914e-32,1.9696690078515692e-31,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,8d044dbfac1f9d7cf743958bf2520fcb7c0bd5993d0b2598bcfb596effc314df,sources/NORTH_STAR.md,exp(0.4*x),82.18793295795331,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-scaled-exp-growth-blind-7b2cad0dbb26.json
v1-5-shallow-proof-shallow-scaled-exp-fast-decay-blind-6bc7e0d8694d,v1.5-shallow-proof,shallow-scaled-exp-fast-decay-blind,scaled_exp_fast_decay,blind,0,9,120,0,8,2,1,0.0,2.974066844303768e-32,3.1294980868512584e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,9c127a543ec391ac587a03fa9b6ff0fe77233ae893932115a894b5e4dfecab09,sources/NORTH_STAR.md,exp(-1.2*x),81.96629166702041,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-scaled-exp-fast-decay-blind-6bc7e0d8694d.json
v1-5-shallow-proof-shallow-scaled-exp-fast-decay-blind-3ad0963da6b8,v1.5-shallow-proof,shallow-scaled-exp-fast-decay-blind,scaled_exp_fast_decay,blind,1,9,120,0,8,2,1,0.0,2.686670178009004e-32,2.686670178009004e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,f7dcba56417265e083113c8a67750cff6c5acdf8c701794bc50e8a16de25abae,sources/NORTH_STAR.md,exp(-1.2*x),81.93471016600961,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-scaled-exp-fast-decay-blind-3ad0963da6b8.json
v1-5-shallow-proof-shallow-scaled-exp-fast-decay-blind-1aa2410befb8,v1.5-shallow-proof,shallow-scaled-exp-fast-decay-blind,scaled_exp_fast_decay,blind,2,9,120,0,8,2,1,0.0,3.3639065644773213e-32,3.364687820064662e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,paper-shallow-scaffolded-recovery,scaffolded_training_proof,blind_training,scaffolded_blind_training_recovered,,,,,0,scaffolded_bounded_100_percent,aa1423d84aa7474757810007fa248b8fb8d0856c4b40576fe00ad29bb9a0cd0b,sources/NORTH_STAR.md,exp(-1.2*x),82.00232866604347,,,,verified,artifacts/proof/v1.5/campaigns/proof-shallow/runs/v1.5-shallow-proof/v1-5-shallow-proof-shallow-scaled-exp-fast-decay-blind-1aa2410befb8.json
